date,fund,IC,IF
2014-01-02 00:00:00,1.01,,2331.8
2014-01-03 00:00:00,0.999,,2302.4
2014-01-06 00:00:00,0.978,,2240.8
2014-01-07 00:00:00,0.981,,2238.4
2014-01-08 00:00:00,0.986,,2241.2
2014-01-09 00:00:00,0.977,,2223.6
2014-01-10 00:00:00,0.968,,2218
2014-01-13 00:00:00,0.965,,2204.4
2014-01-14 00:00:00,0.976,,2217.6
2014-01-15 00:00:00,0.976,,2211.6
2014-01-16 00:00:00,0.978,,2211.2
2014-01-17 00:00:00,0.968,,2182.8
2014-01-20 00:00:00,0.962,,2184.6
2014-01-21 00:00:00,0.972,,2206.4
2014-01-22 00:00:00,0.993,,2254.6
2014-01-23 00:00:00,0.992,,2244.2
2014-01-24 00:00:00,0.999,,2251.8
2014-01-27 00:00:00,0.988,,2227
2014-01-28 00:00:00,0.99,,2230.8
2014-01-29 00:00:00,0.996,,2240
2014-01-30 00:00:00,0.988,,2199.2
2014-02-07 00:00:00,0.996,,2214.6
2014-02-10 00:00:00,1.02,,2260.4
2014-02-11 00:00:00,1.027,,2277.4
2014-02-12 00:00:00,1.036,,2284
2014-02-13 00:00:00,1.025,,2273.4
2014-02-14 00:00:00,1.033,,2288.4
2014-02-17 00:00:00,1.046,,2305.4
2014-02-18 00:00:00,1.033,,2280.4
2014-02-19 00:00:00,1.039,,2308.8
2014-02-20 00:00:00,1.026,,2282.8
2014-02-21 00:00:00,1.02,,2266.2
2014-02-24 00:00:00,1.002,,2206.2
2014-02-25 00:00:00,0.975,,2145.6
2014-02-26 00:00:00,0.98,,2149
2014-02-27 00:00:00,0.976,,2148.2
2014-02-28 00:00:00,0.988,,2174
2014-03-03 00:00:00,0.997,,2163.8
2014-03-04 00:00:00,0.992,,2169.8
2014-03-05 00:00:00,0.983,,2149.6
2014-03-06 00:00:00,0.985,,2167.4
2014-03-07 00:00:00,0.983,,2141.2
2014-03-10 00:00:00,0.956,,2062.8
2014-03-11 00:00:00,0.959,,2088.6
2014-03-12 00:00:00,0.963,,2085.8
2014-03-13 00:00:00,0.971,,2105.4
2014-03-14 00:00:00,0.965,,2100
